lower_fill,lower_t_nm,spacer_nm,lambda_nm,A_layers
0.20,2000,50,600,0.997726
0.20,2000,50,610,0.998488
0.20,2000,50,620,0.999134
0.20,2000,50,630,0.999453
0.20,2000,50,640,0.999515
0.20,2000,50,650,0.999661
0.20,2000,50,660,0.994979
0.20,2000,50,670,0.979588
0.20,2000,50,680,0.982829
0.20,2000,50,690,0.994897
0.20,2000,50,700,0.998707
0.20,2000,50,710,0.996103
0.20,2000,50,720,0.981019
0.20,2000,50,730,0.941551
0.20,2000,50,740,0.963069
0.20,2000,50,750,0.912129
0.20,2000,75,400,0.986693
0.20,2000,75,410,0.989067
0.20,2000,75,420,0.991148
0.20,2000,75,430,0.992984
0.20,2000,75,440,0.994691
0.20,2000,75,450,0.996344
0.20,2000,75,460,0.997795
0.20,2000,75,470,0.998928
0.20,2000,75,480,0.999654
0.20,2000,75,490,0.999971
0.20,2000,75,500,0.999912
0.20,2000,75,510,0.999448
0.20,2000,75,520,0.998194
0.20,2000,75,530,0.995577
0.20,2000,75,540,0.992512
0.20,2000,75,550,0.993338
0.20,2000,75,560,0.994845
0.20,2000,75,570,0.995643
0.20,2000,75,580,0.996291
0.20,2000,75,590,0.996980
0.20,2000,75,600,0.997726
0.20,2000,75,610,0.998488
0.20,2000,75,620,0.999134
0.20,2000,75,630,0.999453
0.20,2000,75,640,0.999515
0.20,2000,75,650,0.999661
0.20,2000,75,660,0.994979
0.20,2000,75,670,0.979588
0.20,2000,75,680,0.982823
0.20,2000,75,690,0.994935
0.20,2000,75,700,0.998954
0.20,2000,75,710,0.996788
0.20,2000,75,720,0.976334
0.20,2000,75,730,0.950841
0.20,2000,75,740,0.946317
0.20,2000,75,750,0.937941
0.20,2000,100,400,0.986693
0.20,2000,100,410,0.989067
0.20,2000,100,420,0.991148
0.20,2000,100,430,0.992984
0.20,2000,100,440,0.994691
0.20,2000,100,450,0.996344
0.20,2000,100,460,0.997795
0.20,2000,100,470,0.998928
0.20,2000,100,480,0.999654
0.20,2000,100,490,0.999971
0.20,2000,100,500,0.999912
0.20,2000,100,510,0.999448
0.20,2000,100,520,0.998194
0.20,2000,100,530,0.995577
0.20,2000,100,540,0.992512
0.20,2000,100,550,0.993338
0.20,2000,100,560,0.994845
0.20,2000,100,570,0.995643
0.20,2000,100,580,0.996291
0.20,2000,100,590,0.996980
0.20,2000,100,600,0.997726
0.20,2000,100,610,0.998488
0.20,2000,100,620,0.999134
0.20,2000,100,630,0.999453
0.20,2000,100,640,0.999515
0.20,2000,100,650,0.999661
0.20,2000,100,660,0.994979
0.20,2000,100,670,0.979588
0.20,2000,100,680,0.982819
0.20,2000,100,690,0.994916
0.20,2000,100,700,0.999065
